date,week_group,adt,imputed_adt,adt_prop,store_cnt,cfm_cases,asym_cases,covid_group
2019-01-01,0.0,10849.0,10849.0,1.0,146.0,0.0,0.0,-1.0
2019-01-02,0.0,9526.0,9526.0,1.0,160.0,0.0,0.0,-1.0
2019-01-03,0.0,10027.0,10027.0,1.0,160.0,0.0,0.0,-1.0
2019-01-04,0.0,10694.0,10694.0,1.0,160.0,0.0,0.0,-1.0
2019-01-05,0.0,11591.0,11591.0,1.0,160.0,0.0,0.0,-1.0
2019-01-06,0.0,11360.0,11360.0,1.0,159.0,0.0,0.0,-1.0
2019-01-07,1.0,8347.0,8347.0,1.0,159.0,0.0,0.0,-1.0
2019-01-08,1.0,8577.0,8577.0,1.0,159.0,0.0,0.0,-1.0
2019-01-09,1.0,8353.0,8353.0,1.0,159.0,0.0,0.0,-1.0
2019-01-10,1.0,8506.0,8506.0,1.0,160.0,0.0,0.0,-1.0
2019-01-11,1.0,10055.0,10055.0,1.0,160.0,0.0,0.0,-1.0
2019-01-12,1.0,11435.0,11435.0,1.0,160.0,0.0,0.0,-1.0
2019-01-13,1.0,11257.0,11257.0,1.0,160.0,0.0,0.0,-1.0
2019-01-14,2.0,9031.0,9031.0,1.0,160.0,0.0,0.0,-1.0
2019-01-15,2.0,8461.0,8461.0,1.0,160.0,0.0,0.0,-1.0
2019-01-16,2.0,9554.0,9554.0,1.0,160.0,0.0,0.0,-1.0
2019-01-17,2.0,9315.0,9315.0,1.0,160.0,0.0,0.0,-1.0
2019-01-18,2.0,9825.0,9825.0,1.0,161.0,0.0,0.0,-1.0
2019-01-19,2.0,10991.0,10991.0,1.0,161.0,0.0,0.0,-1.0
2019-01-20,2.0,11094.0,11094.0,1.0,161.0,0.0,0.0,-1.0
2019-01-21,3.0,9016.0,9016.0,1.0,161.0,0.0,0.0,-1.0
2019-01-22,3.0,9364.0,9364.0,1.0,161.0,0.0,0.0,-1.0
2019-01-23,3.0,9084.0,9084.0,1.0,161.0,0.0,0.0,-1.0
2019-01-24,3.0,9018.0,9018.0,1.0,161.0,0.0,0.0,-1.0
2019-01-25,3.0,9727.0,9727.0,1.0,161.0,0.0,0.0,-1.0
2019-01-26,3.0,10262.0,10262.0,1.0,160.0,0.0,0.0,-1.0
2019-01-27,3.0,10238.0,10238.0,1.0,160.0,0.0,0.0,-1.0
2019-01-28,4.0,9445.0,9445.0,1.0,161.0,0.0,0.0,-1.0
2019-01-29,4.0,9451.0,9451.0,1.0,163.0,0.0,0.0,-1.0
2019-01-30,4.0,8977.0,8977.0,1.0,163.0,0.0,0.0,-1.0
2019-01-31,4.0,8759.0,8759.0,1.0,163.0,0.0,0.0,-1.0
2019-02-01,4.0,8395.0,8395.0,1.0,163.0,0.0,0.0,-1.0
2019-02-02,4.0,7772.0,7772.0,1.0,162.0,0.0,0.0,-1.0
2019-02-03,4.0,7584.0,7584.0,1.0,162.0,0.0,0.0,-1.0
2019-02-04,5.0,4381.0,8694.241884203082,0.5038967236418871,139.0,0.0,0.0,-1.0
2019-02-05,5.0,6278.0,8953.460674530934,0.7011813898796065,138.0,0.0,0.0,-1.0
2019-02-06,5.0,5551.0,9063.481947659013,0.6124577763884393,137.0,0.0,0.0,-1.0
2019-02-07,5.0,5808.0,9073.338121453971,0.6401172228186828,135.0,0.0,0.0,-1.0
2019-02-08,5.0,6124.0,10223.13396634214,0.5990335273079846,137.0,0.0,0.0,-1.0
2019-02-09,5.0,7494.0,11037.191110564616,0.6789770988768028,138.0,0.0,0.0,-1.0
2019-02-10,5.0,9074.0,10671.4853474098,0.8503033743285283,139.0,0.0,0.0,-1.0
2019-02-11,6.0,8635.0,8635.0,1.0,164.0,0.0,0.0,-1.0
2019-02-12,6.0,8181.0,8181.0,1.0,164.0,0.0,0.0,-1.0
2019-02-13,6.0,8261.0,8261.0,1.0,165.0,0.0,0.0,-1.0
2019-02-14,6.0,10412.0,10412.0,1.0,165.0,0.0,0.0,-1.0
2019-02-15,6.0,9404.0,9404.0,1.0,165.0,0.0,0.0,-1.0
2019-02-16,6.0,10712.0,10712.0,1.0,164.0,0.0,0.0,-1.0
2019-02-17,6.0,10511.0,10511.0,1.0,162.0,0.0,0.0,-1.0
2019-02-18,7.0,7116.0,7116.0,1.0,166.0,0.0,0.0,-1.0
2019-02-19,7.0,8498.0,8498.0,1.0,165.0,0.0,0.0,-1.0
2019-02-20,7.0,9618.0,9618.0,1.0,165.0,0.0,0.0,-1.0
2019-02-21,7.0,9697.0,9697.0,1.0,165.0,0.0,0.0,-1.0
2019-02-22,7.0,10872.0,10872.0,1.0,165.0,0.0,0.0,-1.0
2019-02-23,7.0,11332.0,11332.0,1.0,164.0,0.0,0.0,-1.0
2019-02-24,7.0,12052.0,12052.0,1.0,163.0,0.0,0.0,-1.0
2019-02-25,8.0,8725.0,8725.0,1.0,165.0,0.0,0.0,-1.0
2019-02-26,8.0,9968.0,9968.0,1.0,165.0,0.0,0.0,-1.0
2019-02-27,8.0,9979.0,9979.0,1.0,165.0,0.0,0.0,-1.0
2019-02-28,8.0,10066.0,10066.0,1.0,165.0,0.0,0.0,-1.0
2019-03-01,8.0,10792.0,10792.0,1.0,165.0,0.0,0.0,-1.0
2019-03-02,8.0,13105.0,13105.0,1.0,164.0,0.0,0.0,-1.0
2019-03-03,8.0,12351.0,12351.0,1.0,163.0,0.0,0.0,-1.0
2019-03-04,9.0,9663.0,9663.0,1.0,164.0,0.0,0.0,-1.0
2019-03-05,9.0,9674.0,9674.0,1.0,164.0,0.0,0.0,-1.0
2019-03-06,9.0,9209.0,9209.0,1.0,164.0,0.0,0.0,-1.0
2019-03-07,9.0,8899.0,8899.0,1.0,163.0,0.0,0.0,-1.0
2019-03-08,9.0,12239.0,12239.0,1.0,163.0,0.0,0.0,-1.0
2019-03-09,9.0,11504.0,11504.0,1.0,161.0,0.0,0.0,-1.0
2019-03-10,9.0,11401.0,11401.0,1.0,160.0,0.0,0.0,-1.0
2019-03-11,10.0,8987.0,8987.0,1.0,163.0,0.0,0.0,-1.0
2019-03-12,10.0,9592.0,9592.0,1.0,163.0,0.0,0.0,-1.0
2019-03-13,10.0,9651.0,9651.0,1.0,163.0,0.0,0.0,-1.0
2019-03-14,10.0,8494.0,8494.0,1.0,163.0,0.0,0.0,-1.0
2019-03-15,10.0,10466.0,10466.0,1.0,163.0,0.0,0.0,-1.0
2019-03-16,10.0,13018.0,13018.0,1.0,161.0,0.0,0.0,-1.0
2019-03-17,10.0,12329.0,12329.0,1.0,160.0,0.0,0.0,-1.0
2019-03-18,11.0,12864.0,12864.0,1.0,163.0,0.0,0.0,-1.0
2019-03-19,11.0,13568.0,13568.0,1.0,163.0,0.0,0.0,-1.0
2019-03-20,11.0,9594.0,9594.0,1.0,163.0,0.0,0.0,-1.0
2019-03-21,11.0,3072.0,9319.45324773595,0.3296330716339293,157.0,0.0,0.0,-1.0
2019-03-22,11.0,3548.0,10427.603203427185,0.3402507681567608,161.0,0.0,0.0,-1.0
2019-03-23,11.0,4085.0,11200.91120544872,0.3647024715286412,157.0,0.0,0.0,-1.0
2019-03-24,11.0,3980.0,10796.215467978893,0.3686476999097051,155.0,0.0,0.0,-1.0
2019-03-25,12.0,3882.0,8614.607146448474,0.4506299514308582,161.0,0.0,0.0,-1.0
2019-03-26,12.0,4038.0,8819.503103067347,0.4578489233249,157.0,0.0,0.0,-1.0
2019-03-27,12.0,4243.0,8883.87580870496,0.4776068566652465,159.0,0.0,0.0,-1.0
2019-03-28,12.0,4492.0,8858.021238545716,0.5071109990629784,159.0,0.0,0.0,-1.0
2019-03-29,12.0,4517.0,9983.000446998014,0.4524691773762572,159.0,0.0,0.0,-1.0
2019-03-30,12.0,5847.0,10783.765741655425,0.5422039146690906,158.0,0.0,0.0,-1.0
2019-03-31,12.0,5278.0,10416.588677929956,0.5066917935602766,156.0,0.0,0.0,-1.0
2019-04-01,13.0,4192.0,8281.759015866804,0.5061726611422352,159.0,0.0,0.0,-1.0
2019-04-02,13.0,4085.0,8541.678389639634,0.4782432460761781,159.0,0.0,0.0,-1.0
2019-04-03,13.0,4232.0,8668.116493893074,0.4882260180722721,160.0,0.0,0.0,-1.0
2019-04-04,13.0,4323.0,8710.009925555925,0.4963254964056863,159.0,0.0,0.0,-1.0
2019-04-05,13.0,4429.0,9906.938526465568,0.447060410051833,144.0,0.0,0.0,-1.0
2019-04-06,13.0,4575.0,10782.28920813178,0.4243069270067092,149.0,0.0,0.0,-1.0
2019-04-07,13.0,4179.0,10490.723469678614,0.3983519356008747,148.0,0.0,0.0,-1.0
2019-04-08,14.0,7229.0,7229.0,1.0,164.0,0.0,0.0,-1.0
2019-04-09,14.0,9741.0,9741.0,1.0,164.0,0.0,0.0,-1.0
2019-04-10,14.0,10141.0,10141.0,1.0,164.0,0.0,0.0,-1.0
2019-04-11,14.0,10158.0,10158.0,1.0,164.0,0.0,0.0,-1.0
2019-04-12,14.0,9818.0,9818.0,1.0,164.0,0.0,0.0,-1.0
2019-04-13,14.0,12867.0,12867.0,1.0,163.0,0.0,0.0,-1.0
2019-04-14,14.0,11626.0,11626.0,1.0,162.0,0.0,0.0,-1.0
2019-04-15,15.0,9547.0,9547.0,1.0,164.0,0.0,0.0,-1.0
2019-04-16,15.0,8994.0,8994.0,1.0,164.0,0.0,0.0,-1.0
2019-04-17,15.0,10527.0,10527.0,1.0,164.0,0.0,0.0,-1.0
2019-04-18,15.0,9191.0,9191.0,1.0,164.0,0.0,0.0,-1.0
2019-04-19,15.0,8888.0,8888.0,1.0,164.0,0.0,0.0,-1.0
2019-04-20,15.0,11098.0,11098.0,1.0,163.0,0.0,0.0,-1.0
2019-04-21,15.0,13548.0,13548.0,1.0,162.0,0.0,0.0,-1.0
2019-04-22,16.0,9900.0,9900.0,1.0,164.0,0.0,0.0,-1.0
2019-04-23,16.0,9804.0,9804.0,1.0,164.0,0.0,0.0,-1.0
2019-04-24,16.0,10041.0,10041.0,1.0,164.0,0.0,0.0,-1.0
2019-04-25,16.0,10583.0,10583.0,1.0,164.0,0.0,0.0,-1.0
2019-04-26,16.0,11749.0,11749.0,1.0,164.0,0.0,0.0,-1.0
2019-04-27,16.0,12444.0,12444.0,1.0,165.0,0.0,0.0,-1.0
2019-04-28,16.0,10740.0,10740.0,1.0,165.0,0.0,0.0,-1.0
2019-04-29,17.0,11650.0,11650.0,1.0,166.0,0.0,0.0,-1.0
2019-04-30,17.0,11551.0,11551.0,1.0,166.0,0.0,0.0,-1.0
2019-05-01,17.0,11508.0,11508.0,1.0,152.0,0.0,0.0,-1.0
2019-05-02,17.0,9648.0,9648.0,1.0,158.0,0.0,0.0,-1.0
2019-05-03,17.0,10232.0,10232.0,1.0,159.0,0.0,0.0,-1.0
2019-05-04,17.0,10249.0,10249.0,1.0,159.0,0.0,0.0,-1.0
2019-05-05,17.0,9971.0,9971.0,1.0,166.0,0.0,0.0,-1.0
2019-05-06,18.0,8717.0,8717.0,1.0,167.0,0.0,0.0,-1.0
2019-05-07,18.0,8800.0,8800.0,1.0,166.0,0.0,0.0,-1.0
2019-05-08,18.0,8642.0,8642.0,1.0,166.0,0.0,0.0,-1.0
2019-05-09,18.0,9805.0,9805.0,1.0,167.0,0.0,0.0,-1.0
2019-05-10,18.0,11791.0,11791.0,1.0,167.0,0.0,0.0,-1.0
2019-05-11,18.0,13369.0,13369.0,1.0,166.0,0.0,0.0,-1.0
2019-05-12,18.0,13003.0,13003.0,1.0,165.0,0.0,0.0,-1.0
2019-05-13,19.0,9467.0,9467.0,1.0,166.0,0.0,0.0,-1.0
2019-05-14,19.0,9770.0,9770.0,1.0,166.0,0.0,0.0,-1.0
2019-05-15,19.0,9779.0,9779.0,1.0,167.0,0.0,0.0,-1.0
2019-05-16,19.0,9913.0,9913.0,1.0,166.0,0.0,0.0,-1.0
2019-05-17,19.0,11953.0,11953.0,1.0,166.0,0.0,0.0,-1.0
2019-05-18,19.0,13121.0,13121.0,1.0,164.0,0.0,0.0,-1.0
2019-05-19,19.0,12748.0,12748.0,1.0,163.0,0.0,0.0,-1.0
2019-05-20,20.0,9898.0,9898.0,1.0,166.0,0.0,0.0,-1.0
2019-05-21,20.0,9686.0,9686.0,1.0,166.0,0.0,0.0,-1.0
2019-05-22,20.0,9940.0,9940.0,1.0,166.0,0.0,0.0,-1.0
